Internações SUS
AIHs Pagas por Munic Resid SP e Ano de Competência
CID10 3 dígitos: A08   Infecc intestinais virais outr e as NE
Fx Etária 1: Menor de 1 ano, 1-4 anos
Período:2008-2016
"Munic Resid SP";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Total"
"351080 Casa Branca";0;0;1;0;0;1;0;0;0;2
"351110 Catanduva";1;0;0;0;0;0;0;0;0;1
"351120 Catiguá";1;0;0;0;0;0;0;0;0;1
"351140 Cerqueira César";0;0;0;0;0;1;0;0;0;1
"351150 Cerquilho";0;1;0;1;4;0;1;0;0;7
"351170 Charqueada";0;1;0;1;1;1;0;0;2;6
"355720 Chavantes";0;0;0;0;1;0;1;1;0;3
"351190 Clementina";1;0;1;1;1;0;0;0;0;4
"351200 Colina";8;3;3;0;0;0;0;2;4;20
"351210 Colômbia";2;0;0;0;0;0;0;0;0;2
"351220 Conchal";6;0;2;0;0;0;0;0;0;8
"351230 Conchas";0;0;0;0;0;0;1;0;0;1
"351240 Cordeirópolis";1;0;0;0;0;0;0;0;0;1
"351250 Coroados";0;0;1;0;0;0;0;0;0;1
"351270 Corumbataí";1;0;0;0;0;0;0;0;0;1
"351280 Cosmópolis";0;0;0;1;0;1;0;0;0;2
"351290 Cosmorama";0;2;1;0;1;2;2;0;1;9
"351300 Cotia";1;0;0;0;0;0;1;0;3;5
"351310 Cravinhos";0;0;1;0;1;0;0;0;0;2
"351320 Cristais Paulista";2;5;1;1;0;0;1;0;0;10
"351330 Cruzália";2;0;2;1;1;1;0;0;0;7
"351340 Cruzeiro";30;30;46;23;13;7;6;1;2;158
"351360 Cunha";0;0;0;1;0;0;0;1;0;2
"351380 Diadema";3;5;2;2;0;2;1;0;1;16
"351390 Divinolândia";3;0;1;0;0;0;1;0;0;5
"351400 Dobrada";0;0;0;2;0;0;0;0;0;2
"351410 Dois Córregos";48;59;36;25;47;22;5;0;0;242
"351430 Dourado";0;1;0;0;0;0;0;0;0;1
"351440 Dracena";0;1;1;0;1;1;0;0;0;4
"351450 Duartina";3;5;2;3;3;0;0;0;1;17
"351490 Elias Fausto";4;2;1;1;1;0;0;0;0;9
