Internações SUS 
AIHs Pagas por Munic Resid SP e Ano de Competência
CID10 3 dígitos: A08   Infecc intestinais virais outr e as NE
Fx Etária 1: Menor de 1 ano, 1-4 anos
Período:2000-2007
"Munic Resid SP";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"351530 Estrela do Norte";0;0;1;1;0;1;0;0;3
"351535 Euclides da Cunha Paulista";0;0;0;2;0;0;0;0;2
"351560 Fernando Prestes";5;0;0;0;0;1;0;0;6
"351550 Fernandópolis";46;34;41;99;12;15;36;33;316
"351565 Fernão";0;0;3;1;0;2;3;0;9
"351570 Ferraz de Vasconcelos";10;38;11;1;0;4;5;5;74
"351600 Flórida Paulista";34;33;5;2;1;0;0;0;75
"351610 Florínia";0;0;0;0;1;0;1;2;4
"351620 Franca";0;0;5;44;65;27;21;16;178
"351630 Francisco Morato";5;5;12;4;0;0;1;0;27
"351640 Franco da Rocha";0;0;0;2;0;0;0;0;2
"351650 Gabriel Monteiro";0;0;0;4;2;0;0;0;6
"351660 Gália";0;0;10;11;11;6;4;0;42
"351670 Garça";7;0;0;0;0;0;0;0;7
"351700 Getulina";3;0;0;0;1;1;0;0;5
"351710 Glicério";0;1;4;0;0;0;0;0;5
"351720 Guaiçara";6;3;1;3;1;1;5;0;20
"351730 Guaimbê";3;0;0;0;0;0;0;0;3
"351740 Guaíra";5;3;0;1;0;1;0;0;10
"351760 Guapiara";11;28;11;1;0;0;0;0;51
"351770 Guará";3;8;1;1;1;1;1;1;17
"351780 Guaraçaí";3;1;10;1;4;2;4;1;26
"351790 Guaraci";5;19;4;10;9;7;6;4;64
"351800 Guarani d'Oeste";0;2;0;1;0;1;0;0;4
"351810 Guarantã";0;2;1;0;1;1;2;1;8
"351820 Guararapes";1;0;0;0;0;0;0;0;1
"351830 Guararema";27;32;22;5;5;3;1;1;96
"351840 Guaratinguetá";15;15;2;1;20;68;51;20;192
"351850 Guareí";0;4;0;4;2;0;0;1;11
"351870 Guarujá";1;0;5;2;9;10;2;6;35
"351880 Guarulhos";94;537;138;137;163;198;157;61;1485
"351885 Guatapará";3;0;0;0;0;0;1;0;4
"351890 Guzolândia";0;0;0;1;0;0;0;0;1
"351900 Herculândia";5;6;4;8;1;4;1;0;29
"351905 Holambra";0;0;0;0;0;0;0;1;1
"351907 Hortolândia";2;0;0;0;0;1;1;0;4
"351910 Iacanga";1;1;0;0;2;1;0;0;5
"351920 Iacri";7;1;2;0;1;0;0;0;11
"351925 Iaras";0;1;2;2;4;4;2;1;16
"351930 Ibaté";87;87;26;0;7;0;2;2;211
"351940 Ibirá";34;33;26;42;50;12;30;18;245
"351950 Ibirarema";8;3;0;0;1;4;3;3;22
"351960 Ibitinga";0;0;2;11;0;5;1;1;20
"351970 Ibiúna";30;23;2;3;5;1;2;1;67
"351990 Iepê";0;0;0;0;0;0;0;1;1
"352000 Igaraçu do Tietê";0;1;0;0;0;0;0;0;1
"352010 Igarapava";95;99;24;16;28;0;0;0;262
"352020 Igaratá";1;1;0;0;0;0;0;0;2
"352030 Iguape";0;0;0;0;0;0;1;0;1
"352044 Ilha Solteira";37;82;22;43;39;40;22;19;304
"352040 Ilhabela";3;3;0;1;1;1;0;3;12
"352050 Indaiatuba";46;67;25;1;1;2;0;0;142
"352060 Indiana";0;0;0;1;2;0;0;1;4
"352070 Indiaporã";2;0;0;0;0;0;0;0;2
"352080 Inúbia Paulista";81;6;0;0;0;0;0;0;87
"352090 Ipaussu";0;0;0;0;0;0;1;0;1
"352100 Iperó";7;7;7;3;3;4;2;1;34
